tier,concept,repo_path_or_url,title,words,proposed_page,publishability,why_it_matters
0,C9 register,team/humans/dinis_cruz/briefs/06/26/risk-register-and-five-whys/v0.33.35__arch-brief__sg-send-risk-register-graph-of-graphs-facts-only-no-deny-cascade-cia-blast-radius.md,The Risk Register as a Graph of Graphs,3187,/register/,clean,"The founding register document. Facts-only, no-deny, cascade, air gaps, CIA blast radius, told as a five-movement narrative."
0,C6 grounding ladder,team/humans/dinis_cruz/briefs/06/28/ontology-and-definitions/v0.33.36__arch-brief__sg-send-grounding-ladder-fact-evidence-measure-vulnerability-risk-definitions.md,The Grounding Ladder,2325,/ladder/,clean,THE most rigorous document in the corpus and what agents most need. Reality-Twin-Measure-Evidence-Fact-Vulnerability-Risk as one formula.
0,C7 node type formulas,team/humans/dinis_cruz/briefs/06/28/ontology-and-definitions/v0.33.36__arch-brief__sg-send-node-type-formulas-classification-as-testable-path-pattern-not-judgment.md,Node Type Formulas,1511,/ladder/formulas/,clean,"Classification as a computed path query. Bias relocated from the classifier into the formula, where it is visible and arguable."
0,C8 ontologies of ontologies,team/humans/dinis_cruz/briefs/06/28/ontology-and-definitions/v0.33.36__arch-brief__sg-send-ontologies-of-ontologies-three-layers-formulas-bridges-multiple-definitions.md,Ontologies of Ontologies,1275,/ladder/bridges/,clean,"Three layers: shared factual graph, per-party formulas, declared bridges. Merging erases the disagreement."
0,C8 worked bridge,team/humans/dinis_cruz/briefs/06/28/ontology-and-definitions/v0.33.36__arch-brief__sg-send-bridge-vulnerability-formula-system-fault-security-failure-conditions-manion-jacobs.md,Bridging a Security-Centric Vulnerability Formula,1713,/ladder/bridges/,clean - names 3 real researchers favourably,"The first worked external bridge. Their Security Failure is structurally the promotion edge, differing only in terminus."
0,C2 no-deny,team/humans/dinis_cruz/briefs/06/23/risk-mandate-product-and-workflow/v0.33.33__dev-brief__sg-send-risk-acceptance-service-demo-no-deny-time-boxed-acceptance-expiry-as-cost-graph-evidence.md,The Risk Acceptance Service,1831,/acceptance/no-deny/,clean,The no-deny button and the expiry-as-cost table. The most immediately graspable idea in the corpus.
0,C15 underwriting graph,team/humans/dinis_cruz/briefs/06/23/risk-mandate-product-and-workflow/v0.33.33__arch-brief__sg-send-risk-acceptance-workflow-multi-stakeholder-graph-underwriting-propagation-override-pre-approval.md,The Risk Acceptance Workflow,2003,/acceptance/workflow/,clean,"Two dimensions, underwriting graph, altitude, override, compound pre-approval. Override and pre-approval are loose ends."
0,C3 interval ladder,team/humans/dinis_cruz/briefs/07/17/registers-mandate-and-intervals/v0.33.49__arch-brief__sg-send-acceptance-interval-ladder-hour-to-six-months-default-one-month-interval-implies-response.md,The Acceptance Interval Ladder,2449,/acceptance/the-ladder/,clean,THE SINGLE CLEANEST ARTEFACT IN THE CORPUS. The interval IS the decision. Publish as a table.
0,C10 fractal registers,team/humans/dinis_cruz/briefs/07/17/registers-mandate-and-intervals/v0.33.49__arch-brief__sg-send-fractal-risk-registers-one-per-accepting-role-domain-language-relevance-fade.md,Fractal Risk Registers,2674,/register/,clean,One register per accepting entity; relevance fade as an education mechanism.
0,C5 accepted != acceptable,team/humans/dinis_cruz/briefs/07/28/regulation-graph-and-acceptability/v0.33.53__strategy-brief__sg-send-accepted-is-not-acceptable-orthogonal-axes-appetite-renamed-article-9-mandates-judgement-without-defining-it.md,Accepted Is Not Acceptable,3291,/acceptable/,clean,"Two orthogonal axes, four quadrants, the Article 9(5) definitional gap. Moves off riskmandate.ai."
